matchup,seed,player_name,agent_name,won,score,tickets_completed,tickets_total,ticket_completion_rate,avg_ticket_progress,avg_route_points,claimed_routes,avg_decision_time_ms,illegal_move_count,prevented_illegal_claims_avg,game_length_turns
symbolic_vs_random,97,random,random,0,-29,0,6,0.0,0.11567460317460318,2.857142857142857,7,0.06518095211677497,0,39.523809523809526,41
symbolic_vs_random,98,symbolic,symbolic,1,33,1,2,0.5,0.40740740740740744,2.2,10,2.8354666669440034,0,40,41
symbolic_vs_random,98,random,random,0,-38,0,7,0.0,0.09914156138645935,2.3333333333333335,6,0.06391904814032993,0,39.04761904761905,41
symbolic_vs_random,99,symbolic,symbolic,1,25,1,2,0.5,0.4174107142857143,2.111111111111111,9,2.479137500131401,0,39.75,31
symbolic_vs_random,99,random,random,0,-50,0,8,0.0,0.11590608465608465,2.5,6,0.0705937500242726,0,36.625,31
symbolic_vs_random,100,symbolic,symbolic,1,34,1,2,0.5,0.3148148148148148,2.3333333333333335,9,2.5699611111728395,0,39.94444444444444,35
symbolic_vs_random,100,random,random,0,-32,1,7,0.14285714285714285,0.12764182833627277,2.142857142857143,7,0.06268333325149594,0,39.888888888888886,35
symbolic_vs_random,101,symbolic,symbolic,1,46,2,2,1.0,0.4732142857142857,2.2222222222222223,9,2.614066666461036,0,40.44444444444444,35
symbolic_vs_random,101,random,random,0,-60,0,9,0.0,0.0724888720920467,2,5,0.06086666649530849,0,41.166666666666664,35
symbolic_vs_hybrid,102,symbolic,symbolic,1,61,3,3,1.0,0.4371527777777778,2.75,8,2.435194999907253,0,40.25,39
symbolic_vs_hybrid,102,hybrid,hybrid,0,46,3,3,1.0,0.29196428571428573,2.5555555555555554,9,3.1845099999372906,0,40.25,39
symbolic_vs_hybrid,103,symbolic,symbolic,1,38,2,3,0.6666666666666666,0.3854166666666667,2.2222222222222223,9,1.9553666667585883,0,40.05555555555556,35
symbolic_vs_hybrid,103,hybrid,hybrid,0,7,1,3,0.3333333333333333,0.44753086419753085,2.5714285714285716,7,2.148677777566061,0,40.388888888888886,35
symbolic_vs_hybrid,104,symbolic,symbolic,0,-3,0,3,0.0,0.34154831523252577,2.75,8,2.4961000002995686,0,39.63157894736842,36
symbolic_vs_hybrid,104,hybrid,hybrid,1,17,1,3,0.3333333333333333,0.5300925925925926,2.2222222222222223,9,3.125594444908428,0,39.611111111111114,36
symbolic_vs_hybrid,105,symbolic,symbolic,1,20,1,3,0.3333333333333333,0.2238408521303258,2.875,8,2.2076368423816013,0,40.1578947368421,37
symbolic_vs_hybrid,105,hybrid,hybrid,0,10,0,3,0.0,0.18441938178780284,3.25,8,2.7881421051700417,0,40.36842105263158,37
symbolic_vs_hybrid,106,symbolic,symbolic,1,39,2,3,0.6666666666666666,0.5855263157894737,3.125,8,3.7343842103789364,0,37.94736842105263,37
symbolic_vs_hybrid,106,hybrid,hybrid,0,-14,0,3,0.0,0.3079399888610415,1.75,8,2.7167000004594324,0,40.578947368421055,37
symbolic_vs_hybrid,107,symbolic,symbolic,1,38,2,3,0.6666666666666666,0.3308270676691729,2.75,8,2.3308578947762726,0,39.94736842105263,37
symbolic_vs_hybrid,107,hybrid,hybrid,0,-4,0,3,0.0,0.1475563909774436,2,9,2.633105263349104,0,40.421052631578945,37
symbolic_vs_hybrid,108,symbolic,symbolic,0,-10,0,3,0.0,0.28406084656084657,1.875,8,2.175188889143303,0,40.55555555555556,34
symbolic_vs_hybrid,108,hybrid,hybrid,1,32,1,2,0.5,0.2851890756302521,2.625,8,2.8883941175830414,0,40.64705882352941,34
symbolic_vs_hybrid,109,symbolic,symbolic,0,3,0,2,0.0,0.3954248366013072,2.625,8,2.0639941177411374,0,40.1764705882353,33
symbolic_vs_hybrid,109,hybrid,hybrid,1,14,1,3,0.3333333333333333,0.30392156862745096,2.142857142857143,7,2.945911764768158,0,39.8235294117647,33
symbolic_vs_hybrid,110,symbolic,symbolic,0,-6,0,3,0.0,0.24742798353909465,2.2222222222222223,9,3.0117388886436753,0,39.44444444444444,34
symbolic_vs_hybrid,110,hybrid,hybrid,1,21,1,3,0.3333333333333333,0.117296918767507,2.5,8,4.041894117429312,0,39.64705882352941,34
symbolic_vs_hybrid,111,symbolic,symbolic,0,10,0,2,0.0,0.296875,2.5555555555555554,9,1.9761450002079073,0,39.9,39
symbolic_vs_hybrid,111,hybrid,hybrid,1,13,1,3,0.3333333333333333,0.347337962962963,2.125,8,2.7236550000452553,0,39.9,39
symbolic_vs_hybrid,112,symbolic,symbolic,1,31,1,2,0.5,0.34837962962962965,2.625,8,2.907572222284216,0,38.666666666666664,35
